"Filogênese (F)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Escrita (E)",,,,,,,,,,,,,,,,,,,,,
"FEMFCRERL","Raciocínio e Reconhecimento das Letras",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCRECG","Raciocínio e Domínio das Convenções gráficas",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCREDF","Raciocínio e Desenvolvimento da Consciência Fonológica",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCREPE","Raciocínio e Produção Escrita",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Representação (S)",,,,,,,,,,,,,,,,,,,,,
"FEMFCSOFC","Representação e Consciência Fonêmica",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCSOLO","Representação e Expressão e Compreensão da Representação Oral",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCSOCD","Representação e Apresentação e Colaboração Discursiva",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCSLPA","Representação e Entendimento do Princípio alfabético",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCSLCL","Representação e Compreensão Leitora",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCSESE","Representação e Sistema de Escrita",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCSERL","Representação e Reconhecimento das Letras",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCSECG","Representação e Domínio das Convenções gráficas",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCSEDF","Representação e Desenvolvimento da Consciência Fonológica",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCSEPE","Representação e Produção Escrita",,,,,,,,,,,,,,,,,,,,
